ID,Name,Concepticon_ID,Concepticon_Gloss
1,*I,1209,I
2,*you,1215,THOU
3,*we,1212,WE
4,this,1214,THIS
5,that,78,THAT
6,who,1235,WHO
7,what,1236,WHAT
8,not,1240,NOT
9,all,98,ALL
10,many,1198,MANY
11,*one,1493,ONE
12,*two,1498,TWO
13,big,1202,BIG
14,long,1203,LONG
15,small,1246,SMALL
16,woman,962,WOMAN
17,man,1554,MAN
18,*person,683,PERSON
19,*fish,227,FISH
20,bird,937,BIRD
21,*dog,2009,DOG
22,*louse,1392,LOUSE
23,*tree,906,TREE
24,seed,714,SEED
25,*leaf,628,LEAF
26,root,670,ROOT
27,bark,1204,BARK
28,*skin,763,SKIN
29,flesh,2259,FLESH
30,*blood,946,BLOOD
31,*bone,1394,BONE
32,grease,323,FAT (ORGANIC SUBSTANCE)
33,egg,744,EGG
34,*horn,1393,HORN (ANATOMY)
35,tail,1220,TAIL
36,feather,1201,FEATHER
37,hair,1040,HAIR
38,head,1256,HEAD
39,*ear,1247,EAR
40,*eye,1248,EYE
41,*nose,1221,NOSE
42,mouth,674,MOUTH
43,*tooth,1380,TOOTH
44,*tongue,1205,TONGUE
45,claw,72,CLAW
46,foot,1301,FOOT
47,*knee,1371,KNEE
48,*hand,1277,HAND
49,belly,1251,BELLY
50,neck,1333,NECK
51,*breasts,1402,BREAST
52,heart,1223,HEART
53,*liver,1224,LIVER
54,*drink,1401,DRINK
55,eat,1336,EAT
56,bite,1403,BITE
57,*see,1409,SEE
58,*hear,1408,HEAR
59,know,3626,KNOW
60,sleep,1585,SLEEP
61,*die,1494,DIE
62,kill,1417,KILL
63,swim,1439,SWIM
64,fly,1441,FLY (MOVE THROUGH AIR)
65,walk,1443,WALK
66,*come,1446,COME
67,lie,1411,LIE (REST)
68,sit,1416,SIT
69,stand,1442,STAND
70,give,1447,GIVE
71,say,1458,SAY
72,*sun,1343,SUN
73,moon,1313,MOON
74,*star,1430,STAR
75,*water,948,WATER
76,rain,2108,RAINING OR RAIN
77,*stone,857,STONE
78,sand,671,SAND
79,earth,1228,EARTH (SOIL)
80,cloud,1489,CLOUD
81,smoke,778,SMOKE (EXHAUST)
82,*fire,221,FIRE
83,ash,646,ASH
84,burn,2102,BURN
85,*path,2252,PATH
86,*mountain,639,MOUNTAIN
87,red,156,RED
88,green,1425,GREEN
89,yellow,1424,YELLOW
90,white,1335,WHITE
91,black,163,BLACK
92,*night,1233,NIGHT
93,hot,1286,HOT
94,cold,1287,COLD
95,*full,1429,FULL
96,*new,1231,NEW
97,good,1035,GOOD
98,round,1395,ROUND
99,dry,1398,DRY
100,*name,1405,NAME
